序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
11,HASARD: A Benchmark for Vision-Based Safe Reinforcement Learning in Embodied Agents.,HASARD:面向具身智能体的基于视觉的安全强化学习基准,https://openreview.net/forum?id=5BRFddsAai,Tristan Tomilin; Meng Fang; Mykola Pechenizkiy,N/A,2025,ICLR,智能体安全评测与红队,N/A,"本文提出 HASARD,一个专门用于评测具身智能体中基于第一人称视觉的安全强化学习能力的基准套件。该基准包含多种复杂任务、三个难度级别和两种动作空间,用于考察智能体的策略决策、空间关系理解以及短期预测能力,并通过基线实验分析其复杂性、挑战性及奖励-代价权衡。"
12,MACPO: Weak-to-Strong Alignment via Multi-Agent Contrastive Preference Optimization.,MACPO:通过多智能体对比式偏好优化实现弱到强对齐,https://openreview.net/forum?id=x1Okv4kbVR,Yougang Lyu; Lingyong Yan; Zihan Wang 0002; Dawei Yin 0001; Pengjie Ren; Maarten de Rijke; Zhaochun Ren,N/A,2025,ICLR,智能体对齐与鲁棒性,N/A,"本文提出MACPO框架,用于解决弱监督条件下的弱到强对齐问题。该方法通过多智能体之间的对比式偏好优化,让弱教师与强学生相互学习:一方面增强彼此的正向行为,另一方面构造并抑制熟悉的负向行为,从而迭代提升对齐效果。实验表明,MACPO在HH-RLHF和PKU-SafeRLHF上能够同时提升强学生和弱教师的对齐性能。"
13,Moral Alignment for LLM Agents.,面向大语言模型智能体的道德对齐,https://openreview.net/forum?id=MeGDmZjUXy,Elizaveta Tennant; Stephen Hailes; Mirco Musolesi,N/A,2025,ICLR,智能体对齐与鲁棒性,N/A,"论文提出一种不依赖人类偏好反馈的数据驱动对齐方法,而是通过显式、透明地设计内在奖励函数,将人类核心价值编码到基于强化学习的智能体微调过程中,实现LLM智能体的道德对齐。作者在迭代囚徒困境环境中,基于义务论和功利主义两类伦理框架,从行为和结果两个层面量化道德奖励,并验证该方法可使智能体纠正先前形成的自私策略,且学到的部分道德策略还能泛化到其他矩阵博弈环境。"
14,Online-to-Offline RL for Agent Alignment.,用于智能体对齐的在线到离线强化学习,https://openreview.net/forum?id=ruv3HdK6he,Xu Liu; Haobo Fu; Stefano V. Albrecht; Qiang Fu; Shuai Li,N/A,2025,ICLR,N/A,N/A,N/A
15,Robust Transfer of Safety-Constrained Reinforcement Learning Agents.,安全约束强化学习智能体的鲁棒迁移,https://openreview.net/forum?id=rvXdGL4pCJ,Markel Zubia; Thiago D. Simão; Nils Jansen 0001,N/A,2025,ICLR,N/A,N/A,N/A
16,Single-agent Poisoning Attacks Suffice to Ruin Multi-Agent Learning.,单智能体投毒攻击足以破坏多智能体学习,https://openreview.net/forum?id=46xYl55hdc,Fan Yao 0002; Yuwei Cheng; Ermin Wei; Haifeng Xu,N/A,2025,ICLR,N/A,N/A,N/A
17,Jensen-Shannon Divergence in Safe Multi- Agent RL.,安全多智能体强化学习中的 Jensen-Shannon 散度,https://openreview.net/forum?id=PRBspmgNkY,Rushikesh Zawar; Prabhdeep Singh Sethi; Roshan Roy,N/A,2024,Tiny Papers @ ICLR,N/A,N/A,N/A
18,Certifiably Robust Policy Learning against Adversarial Multi-Agent Communication.,面向对抗性多智能体通信的可认证鲁棒策略学习,https://openreview.net/forum?id=dCOL0inGl3e,Yanchao Sun; Ruijie Zheng; Parisa Hassanzadeh; Yongyuan Liang; Soheil Feizi; Sumitra Ganesh; Furong Huang,N/A,2023,ICLR,多智能体安全,N/A,"论文研究多智能体强化学习中通信消息被恶意篡改时的安全问题。作者提出一种可认证防御方法,通过构建消息集成策略,对多个随机消融的消息集合进行聚合,使智能体在利用正常通信信息的同时,对任意攻击算法下的对抗性通信保持理论可认证的鲁棒性。实验表明,该方法能显著提升训练策略在多种攻击场景下的鲁棒性。"
19,MACTA: A Multi-agent Reinforcement Learning Approach for Cache Timing Attacks and Detection.,MACTA:一种用于缓存时序攻击与检测的多智能体强化学习方法,https://openreview.net/forum?id=CDlHZ78-Xzi,Jiaxun Cui; Xiaomeng Yang; Mulong Luo; Geunbae Lee; Peter Stone 0001; Hsien-Hsin S. Lee; Benjamin Lee; G. Edward Suh; Wenjie Xiong 0001; Yuandong Tian,N/A,2023,ICLR,N/A,N/A,N/A
20,Robustness Evaluation of Multi-Agent Reinforcement Learning Algorithms using GNAs.,使用GNA对多智能体强化学习算法的鲁棒性评估,https://openreview.net/forum?id=zZjPRz0EX5T,Xusheng Zhang; Wei Zhang; Yishu Gong; Liangliang Yang; Jianyu Zhang; Zhengyu Chen; Sihong He,N/A,2023,Tiny Papers @ ICLR,N/A,N/A,N/A
21,Learning Safe Multi-agent Control with Decentralized Neural Barrier Certificates.,利用去中心化神经屏障证书学习安全的多智能体控制,https://openreview.net/forum?id=P6_q1BRxY8Q,Zengyi Qin; Kaiqing Zhang; Yuxiao Chen 0001; Jingkai Chen; Chuchu Fan,Massachusetts Institute of Technology; University of Illinois Urbana-Champaign; N/A; Massachusetts Institute of Technology; Massachusetts Institute of Technology,2021,ICLR,多智能体安全,N/A,"该论文研究多智能体安全控制问题,目标是在到达各自目标的同时避免与静态障碍物及其他智能体发生碰撞。论文提出一种联合学习框架,同时学习控制策略和作为安全证书的控制屏障函数,并以去中心化方式实现,从而具备良好的可扩展性。进一步地,作者引入对邻居数量与排列不变的神经网络结构,并设计测试阶段的自发策略优化方法,以更好满足安全证书条件。实验表明,该方法在安全性和任务完成度上优于现有多智能体控制方法,并具有很强的泛化能力,可从少量智能体训练推广到大规模复杂场景。"
