序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
11,VProChart: Answering Chart Question Through Visual Perception Alignment Agent and Programmatic Solution Reasoning.,VProChart:通过视觉感知对齐智能体和程序化求解推理回答图表问题,https://doi.org/10.1609/aaai.v39i4.32384,Muye Huang; Lingling Zhang 0001; Han Lai; Wenjun Wu; Xinyu Zhang; Jun Liu,N/A,2025,AAAI,其他,N/A,"本文提出VProChart用于图表问答任务,结合轻量级视觉感知对齐智能体VPAgent与程序化求解推理方法,将图表元素按人类视觉感知进行对齐建模,并利用大语言模型把自然语言问题转化为结构化求解程序,从而提升对图表内容的理解和数值、逻辑推理能力。实验表明,该方法在ChartQA和PlotQA等基准上优于现有方法。"
12,Robust Communicative Multi-Agent Reinforcement Learning with Active Defense.,具有主动防御的鲁棒通信多智能体强化学习,https://doi.org/10.1609/aaai.v38i16.29708,Lebin Yu; Yunbo Qiu; Quanming Yao; Yuan Shen 0001; Xudong Zhang 0001; Jian Wang 0030,N/A,2024,AAAI,多智能体安全,N/A,"本文针对多智能体强化学习中的通信易受噪声和对抗攻击影响的问题,提出一种主动防御策略。作者设计了ADMAC框架,通过评估接收消息的可靠性,并结合可分解决策结构动态调整其对最终决策的影响,从而在保证性能的同时提升通信鲁棒性。实验表明,该方法在三类通信关键任务和四种攻击类型下优于现有方法。"
13,DUCK: A Drone-Urban Cyber-Defense Framework Based on Pareto-Optimal Deontic Logic Agents.,DUCK:一种基于帕累托最优义务逻辑智能体的无人机-城市网络防御框架,https://doi.org/10.1609/aaai.v37i13.27067,Tonmoay Deb; Jürgen Dix; Mingi Jeong; Cristian Molinaro; Andrea Pugliese 0001; Alberto Quattrini Li; Eugene Santos Jr.; V. S. Subrahmanian; Shanchieh Yang; Youzhi Zhang 0001,N/A,2023,AAAI,智能体安全评测与红队,N/A,"论文提出DUCK多智能体测试平台,用于模拟不同攻击者发起的无人机恐怖袭击,并帮助安全机构联合开发监控摄像头、无人机与网络防御手段,以应对城市环境中的无人机威胁。"
14,Know Your Enemy: Identifying Adversarial Behaviours in Deep Reinforcement Learning Agents (Student Abstract).,知己知彼:识别深度强化学习智能体中的对抗性行为(学生摘要),https://doi.org/10.1609/aaai.v37i13.26948,Seán Caulfield Curley; Karl Mason; Patrick Mannion,N/A,2023,AAAI,智能体攻击与对抗,N/A,"论文研究如何仅通过受害智能体的观测或内部激活来识别对抗性智能体的攻击行为。结果表明,单步分类效果有限,但将输入视为时序数据后,分类准确率可大幅提升,并可用于实时应对攻击,提升对抗胜率;使用内部激活进行识别同样有效且更具迁移性。"
15,Reward Poisoning Attacks on Offline Multi-Agent Reinforcement Learning.,离线多智能体强化学习中的奖励投毒攻击,https://doi.org/10.1609/aaai.v37i9.26240,Young Wu; Jeremy McMahan; Xiaojin Zhu 0001; Qiaomin Xie,N/A,2023,AAAI,多智能体安全,N/A,"本文研究离线多智能体强化学习中的奖励投毒攻击:外部攻击者在智能体使用数据集前篡改其中奖励,引导各智能体学习到恶意目标策略,同时尽量减小奖励修改幅度。作者证明该攻击可将目标策略安装为马尔可夫完美主导策略均衡,使理性智能体必然遵循;并给出可高效求解的线性规划方法,分析数据集结构与攻击成本的关系,且验证对多种MARL算法都有效。"
16,Robust Multi-Agent Coordination via Evolutionary Generation of Auxiliary Adversarial Attackers.,通过辅助对抗攻击者的进化生成实现鲁棒多智能体协作,https://doi.org/10.1609/aaai.v37i10.26388,Lei Yuan 0005; Ziqian Zhang; Ke Xue 0001; Hao Yin; Feng Chen 0042; Cong Guan; Lihe Li; Chao Qian 0001; Yang Yu 0001,N/A,2023,AAAI,多智能体安全,N/A,"本文针对协作式多智能体强化学习在测试环境中遭遇策略扰动时鲁棒性不足的问题,将其建模为受限策略对抗的Dec-POMDP,并提出ROMANCE方法。该方法在训练阶段引入多样且强的辅助对抗攻击者,通过维护并进化一组兼具攻击质量和行为多样性的攻击者,交替训练协作系统与攻击者,从而提升多智能体协作策略在不同扰动下的鲁棒性与泛化能力。"
17,Safe Interactive Autonomy for Multi-Agent Systems.,多智能体系统的安全交互式自主性,https://doi.org/10.1609/aaai.v37i13.26922,Yiwei Lyu 0002,N/A,2023,AAAI,多智能体安全,N/A,"本文聚焦于人类与多智能体系统共存的安全关键场景,研究在随机环境和异构智能体模型不精确的条件下,如何设计可证明正确的决策算法,为多智能体系统提供形式化的安全保证,避免机器人与人或彼此发生碰撞。"
18,Tackling Safe and Efficient Multi-Agent Reinforcement Learning via Dynamic Shielding (Student Abstract).,通过动态屏蔽实现安全且高效的多智能体强化学习,https://doi.org/10.1609/aaai.v37i13.27041,Wenli Xiao; Yiwei Lyu 0002; John M. Dolan,N/A,2023,AAAI,多智能体安全,N/A,"论文提出一种动态屏蔽的去中心化多智能体强化学习框架,在训练和部署阶段都提供安全保障。该方法通过并行运行的Shield系统监控并修正智能体行为,并根据环境状态动态分裂和合并屏蔽单元,以兼顾去中心化、减少保守行为和形式化安全保证;实验在移动导航场景中验证了有效性。"
19,Path-Specific Objectives for Safer Agent Incentives.,更安全的智能体激励的路径特定目标,https://doi.org/10.1609/aaai.v36i9.21186,Sebastian Farquhar; Ryan Carey; Tom Everitt,N/A,2022,AAAI,智能体对齐与鲁棒性,N/A,"本文提出一个用于训练安全智能体的通用框架,针对“朴素激励不安全”的场景,通过因果影响图分析,将智能体训练为最大化动作对期望回报的、且不经由敏感状态中介的因果效应,从而避免操纵性或欺骗性行为,并使智能体没有控制敏感状态的动机。"
20,Decentralized Multi-Agent Linear Bandits with Safety Constraints.,带安全约束的去中心化多智能体线性多臂老虎机,https://doi.org/10.1609/aaai.v35i8.16820,Sanae Amani; Christos Thrampoulidis,N/A,2021,AAAI,多智能体安全,N/A,"本文研究网络化多智能体协作的去中心化随机线性多臂老虎机问题,提出全去中心化算法DLUCB以降低网络总体遗憾,并分析了通信周期设计对遗憾与通信开销的影响。针对通信成本较高的场景,又提出稀疏通信版本RC-DLUCB,在显著降低通信代价的同时保持可接受性能。进一步地,论文将方法扩展到带未知线性安全约束的安全线性多臂老虎机,给出了首个安全去中心化算法。"
21,Decentralized Policy Gradient Descent Ascent for Safe Multi-Agent Reinforcement Learning.,用于安全多智能体强化学习的去中心化策略梯度下降-上升方法,https://doi.org/10.1609/aaai.v35i10.17062,Songtao Lu; Kaiqing Zhang; Tianyi Chen; Tamer Basar; Lior Horesh,N/A,2021,AAAI,多智能体安全,N/A,"论文研究带有安全约束的分布式多智能体强化学习问题:多个智能体在无中心控制器的情况下,通过点对点通信协作,在仅掌握本地/私有奖励与约束信息的条件下,最大化团队平均长期回报并满足涉及联合动作的安全约束。作者将问题建模为分布式约束马尔可夫决策过程(D-CMDP),并提出去中心化策略梯度算法 Safe Dec-PG,给出了收敛性保证和实验验证,声称这是首个针对耦合安全约束且具有可量化收敛速率的去中心化多智能体策略梯度方法。"
22,Resilient Multi-Agent Reinforcement Learning with Adversarial Value Decomposition.,基于对抗性价值分解的鲁棒多智能体强化学习,https://doi.org/10.1609/aaai.v35i13.17348,Thomy Phan; Lenz Belzner; Thomas Gabor; Andreas Sedlmeier; Fabian Ritz; Claudia Linnhoff-Popien,N/A,2021,AAAI,智能体对齐与鲁棒性,N/A,"本文关注协作式多智能体系统的韧性问题,研究当智能体因更新或软硬件故障而行为变化时,系统性能如何保持稳定。作者提出 RADAR,一种通过对抗性价值分解训练不同规模竞争团队的方法,以提升对任意智能体变化的鲁棒性。实验表明,RADAR 在两个协作多智能体任务中相较现有方法具有更好的最坏情况性能。"
23,Scalable and Safe Multi-Agent Motion Planning with Nonlinear Dynamics and Bounded Disturbances.,具有非线性动力学和有界扰动的可扩展安全多智能体运动规划,https://doi.org/10.1609/aaai.v35i13.17340,Jingkai Chen; Jiaoyang Li 0001; Chuchu Fan; Brian C. Williams,N/A,2021,AAAI,多智能体安全,N/A,"本文提出了一种可扩展且安全的多智能体运动规划方法,使多个智能体在存在复杂障碍物、高维非线性非完整动力学、执行器限制和扰动的情况下,仍能到达目标位置并避免与障碍物及其他智能体碰撞。方法通过为每个智能体构造分段线性路径,并预先计算实际轨迹相对路径的空间跟踪误差界,在此基础上利用混合整数线性规划和基于优先级的搜索实现无碰撞协调。实验在二维地面车辆和三维四旋翼场景中验证了该方法在求解时间和解质量上优于现有方法。"
24,SMT-based Safety Checking of Parameterized Multi-Agent Systems.,基于SMT的参数化多智能体系统安全性检查,https://doi.org/10.1609/aaai.v35i7.16785,Paolo Felli; Alessandro Gianola; Marco Montali,N/A,2021,AAAI,多智能体安全,N/A,"本文研究参数化多智能体系统(PMAS)的安全验证问题,即判断系统的所有可能执行是否都不会到达坏状态。系统中智能体实例数量在运行时不预先确定且可无限增长。作者基于可满足性模理论(SMT)和数组式系统理论,提出一种无限状态模型检测方法,并在特定假设下给出了该方法的正确性、完备性与终止性保证。"
25,Towards Sample Efficient Agents through Algorithmic Alignment (Student Abstract).,通过算法对齐实现样本高效智能体(学生摘要),https://doi.org/10.1609/aaai.v35i18.17910,Mingxuan Li 0001; Michael L. Littman,N/A,2021,AAAI,智能体对齐与鲁棒性,N/A,"本文提出并探索 Deep Graph Value Network(DeepGV),利用消息传递机制和动态规划等结构化非神经网络算法来缓解深度强化学习智能体的样本复杂度问题。实验表明,DeepGV 在马尔可夫决策过程求解中显著优于非结构化基线,展示了图神经网络支持样本高效学习的潜力,并为结构化智能体设计提供了新思路。"
26,Spatiotemporally Constrained Action Space Attacks on Deep Reinforcement Learning Agents.,针对深度强化学习智能体的时空约束动作空间攻击,https://doi.org/10.1609/aaai.v34i04.5887,Xian Yeow Lee; Sambit Ghadai; Kai Liang Tan; Chinmay Hegde; Soumik Sarkar,N/A,2020,AAAI,智能体攻击与对抗,N/A,"本文研究深度强化学习智能体在动作空间上的对抗攻击问题,重点关注现实网络物理系统中执行器层面的攻击。作者将攻击建模为在攻击预算约束下最小化智能体累积奖励的优化问题,提出了白盒的短视动作空间攻击(MAS)和考虑时间耦合约束的前瞻动作空间攻击(LAS)。实验表明,在相同攻击资源下,LAS比MAS更能显著降低智能体性能,说明攻击者可利用智能体动态特性,以有限资源构造更有效的攻击,并借此分析DRL智能体的潜在脆弱性。"
