序号,标题,标题翻译,链接,作者,作者单位,年份,期刊/会议,类别,AI建议新类别,摘要总结
11,sudo rm -rf agentic_security.,sudo rm -rf 智能体安全,https://doi.org/10.18653/v1/2025.acl-industry.75,Sejin Lee; Jian Kim; Haon Park; Ashkan Yousefpour; Sangyoon Yu; Min Song,N/A,2025,ACL (6),智能体越狱与越权,N/A,"本文提出了针对计算机使用型智能体的攻击框架 SUDO,用于系统性绕过商业智能体中的拒答安全机制。其核心方法 Detox2Tox 先将有害请求伪装成无害请求以获取视觉语言模型的详细指导,再在执行前重新注入恶意内容,并结合拒答反馈进行迭代优化。实验显示,该方法在 50 个真实任务上对 Claude for Computer Use 等系统具有较高攻击成功率,揭示了现实环境下智能体越狱与安全防护的严重漏洞。"
12,AgentCourt: Simulating Court with Adversarial Evolvable Lawyer Agents.,AgentCourt:使用可进化对抗律师智能体模拟法庭,https://aclanthology.org/2025.findings-acl.304/,Guhong Chen; Liyang Fan; Zihan Gong; Nan Xie; Zixuan Li 0001; Ziqiang Liu; Chengming Li 0004; Qiang Qu 0001; Hamid Alinejad-Rokny; Shiwen Ni; Min Yang 0007,N/A,2025,ACL (Findings),多智能体安全,N/A,"该论文提出了一个模拟法庭框架 AgentCourt,通过引入具有对抗性且可进化的律师智能体,在法庭场景中开展博弈式交互。其核心目标是利用对抗和演化机制提升法律场景下智能体的论辩、攻防与决策能力,并为相关智能体系统的评测与研究提供仿真环境。"
13,"Beyond Words: Integrating Theory of Mind into Conversational Agents for Human-Like Belief, Desire, and Intention Alignment.",超越语言:将心理理论融入对话智能体以实现类人的信念、欲望与意图对齐,https://aclanthology.org/2025.findings-acl.287/,Mehdi Jafari; Yuncheng Hua; Hao Xue 0001; Flora D. Salim,N/A,2025,ACL (Findings),智能体对齐与鲁棒性,N/A,"本文研究大语言模型驱动的对话智能体能否像人类一样通过自然语言推断和建模他人的心理状态,重点关注心理理论(ToM)中的欲望、信念和意图。作者考察了开源 LLaMA 模型对 ToM 相关概念的表征与保持能力,并探索操纵这些信息以生成更一致、更对齐的回复。实验表明,基于 ToM 的对齐方法可提升回复质量,在 LLaMA-3 3B 和 8B 上分别取得 63% 和 67% 的胜率。"
14,Enhancing LLM Agent Safety via Causal Influence Prompting.,通过因果影响提示增强大语言模型智能体的安全性,https://aclanthology.org/2025.findings-acl.784/,Dongyoon Hahm; Woogyeol Jin; June Suk Choi; Sungsoo Ahn; Kimin Lee,N/A,2025,ACL (Findings),智能体安全,N/A,"论文提出了一种名为 CIP 的方法,利用因果影响图(CID)对大语言模型智能体的决策过程进行结构化建模,从而识别并缓解潜在风险。该方法包括基于任务说明初始化 CID、在与环境交互时用 CID 引导决策,以及根据行为结果迭代优化 CID。实验表明,该方法在代码执行和移动设备控制任务中都能提升智能体的安全性与可靠性。"
15,NetSafe: Exploring the Topological Safety of Multi-agent System.,NetSafe:探索多智能体系统的拓扑安全性,https://aclanthology.org/2025.findings-acl.150/,Miao Yu; Shilong Wang 0002; Guibin Zhang; Junyuan Mao; Chenlong Yin; Qijiong Liu; Kun Wang 0056; Qingsong Wen; Yang Wang 0015,N/A,2025,ACL (Findings),智能体安全评测与红队,N/A,"本文从拓扑结构角度研究多智能体系统(MAS)的安全性,提出NetSafe框架,通过迭代式RelCom交互统一不同MAS工作流,以分析其在恶意查询下的安全特征。研究发现了Agent Hallucination、Aggregation Safety和Security Bottleneck等现象,并表明连接更紧密、规模更大的系统更容易受到对抗性传播影响,例如星型图拓扑下任务性能下降29.7%。"
16,Protecting Users From Themselves: Safeguarding Contextual Privacy in Interactions with Conversational Agents.,保护用户免受自身伤害:保障与对话式智能体交互中的上下文隐私,https://aclanthology.org/2025.findings-acl.1343/,Ivoline C. Ngong; Swanand Ravindra Kadhe; Hao Wang 0063; Keerthiram Murugesan; Justin D. Weisz; Amit Dhurandhar; Karthikeyan Natesan Ramamurthy,N/A,2025,ACL (Findings),智能体隐私保护,N/A,"本文提出“上下文隐私”概念,强调用户与基于大语言模型的对话式智能体交互时,应只披露完成目标所必需且相关的信息。研究通过用户调研发现,即使是注重隐私的用户也会通过间接表达泄露敏感信息。为此,作者设计了一个可本地部署的框架,在用户提示与智能体之间识别并改写不相关的上下文信息,从而在尽量不影响用户意图的前提下提升隐私保护效果。"
17,Red-Teaming LLM Multi-Agent Systems via Communication Attacks.,通过通信攻击对大型语言模型多智能体系统进行红队测试,https://aclanthology.org/2025.findings-acl.349/,Pengfei He; Yuping Lin; Shen Dong; Han Xu 0002; Yue Xing 0002; Hui Liu 0031,N/A,2025,ACL (Findings),多智能体安全,N/A,"本文提出Agent-in-the-Middle(AiTM)攻击,通过拦截并篡改智能体之间的消息,在不直接控制单个智能体的情况下破坏整个LLM多智能体系统。作者设计了带反思机制的对抗智能体以生成上下文相关的恶意指令,并在多种框架、通信结构和真实应用中验证了该类系统对通信攻击的脆弱性。"
18,The Rise of Darkness: Safety-Utility Trade-Offs in Role-Playing Dialogue Agents.,黑暗的崛起:角色扮演对话智能体中的安全-效用权衡,https://aclanthology.org/2025.findings-acl.839/,Yihong Tang; Kehai Chen; Xuefeng Bai 0001; Zheng-Yu Niu; Bo Wang; Jie Liu 0001; Min Zhang 0005,N/A,2025,ACL (Findings),智能体对齐与鲁棒性,N/A,"本文系统研究了角色扮演对话智能体在安全性与角色扮演效用之间的权衡问题,指出反派角色与用户提问共同形成的风险耦合会显著增加生成不安全内容的概率。作者提出自适应动态多偏好(ADMP)方法,并结合耦合边际采样(CMS)增强高风险场景识别,在提升安全性的同时尽量保持效用。"
19,Towards Safety Reasoning in LLMs: AI-agentic Deliberation for Policy-embedded CoT Data Creation.,迈向大语言模型中的安全推理:用于策略嵌入式思维链数据创建的智能体式审议,https://aclanthology.org/2025.findings-acl.1166/,Tharindu Kumarage; Ninareh Mehrabi; Anil Ramakrishna; Xinyan Zhao; Richard S. Zemel; Kai-Wei Chang 0001; Aram Galstyan; Rahul Gupta 0001; Charith Peris,N/A,2025,ACL (Findings),智能体对齐与鲁棒性,N/A,"论文提出 AIDSAFE,一种用于生成高质量安全推理数据的新方法。该方法通过多智能体迭代审议扩展安全策略相关的思维链,并借助数据精炼阶段去除重复、冗余和误导性内容,从而构建适合监督微调的策略嵌入式 CoT 数据集。论文还引入基于信念增强的偏好数据构造方法,以支持 DPO 等对齐训练。实验表明,基于 AIDSAFE 生成的数据微调开源大模型后,可提升策略遵循能力、安全泛化能力和抗越狱鲁棒性,同时保持较好的实用性并降低过度拒答问题。"
20,BadAgent: Inserting and Activating Backdoor Attacks in LLM Agents.,BadAgent:在大语言模型智能体中植入并激活后门攻击,https://doi.org/10.18653/v1/2024.acl-long.530,Yifei Wang; Dizhan Xue; Shengjie Zhang; Shengsheng Qian,N/A,2024,ACL (1),智能体攻击与对抗,N/A,"本文提出 BadAgent 后门攻击方法,指出基于大语言模型构建的智能体在通过数据微调后,可能被植入后门;攻击者在测试时只需在智能体输入或环境中触发特定触发器,就能诱导智能体执行有害操作。实验表明,该攻击即使经过可信数据再微调仍具有很强鲁棒性,凸显了使用不可信模型或数据构建智能体的安全风险。"
21,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety.",PsySafe:一个面向多智能体系统安全的基于心理学攻击、防御与评测的综合框架,https://doi.org/10.18653/v1/2024.acl-long.812,Zaibin Zhang; Yongting Zhang; Lijun Li; Jing Shao; Hongzhi Gao; Yu Qiao 0001; Lijun Wang; Huchuan Lu; Feng Zhao 0004,N/A,2024,ACL (1),多智能体安全,N/A,"该论文提出了一个名为 PsySafe 的综合框架,聚焦多智能体系统中的安全问题,从心理学视角系统性研究攻击、防御和安全评测。论文旨在为多智能体环境下的安全风险分析与防护提供统一方法框架。"
22,DARA: Decomposition-Alignment-Reasoning Autonomous Language Agent for Question Answering over Knowledge Graphs.,DARA:一种用于知识图谱问答的分解-对齐-推理自主语言智能体,https://doi.org/10.18653/v1/2024.findings-acl.203,Haishuo Fang; Xiaodan Zhu 0001; Iryna Gurevych,N/A,2024,ACL (Findings),智能体对齐与鲁棒性,N/A,"该论文提出了面向知识图谱问答的自主语言智能体框架 DARA,通过高层迭代任务分解与低层任务落地的双重机制,将自然语言问题解析为形式化查询,从而增强大语言模型驱动智能体的神经符号推理能力。论文表明,DARA 只需少量高质量推理轨迹即可高效训练,并在零样本评测中优于基于 GPT-4 的上下文学习智能体及其他微调方法,性能也可与当前先进的枚举排序方法相当。"
23,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents.,InjecAgent:工具集成大语言模型智能体中的间接提示注入基准测试,https://doi.org/10.18653/v1/2024.findings-acl.624,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang 0001,N/A,2024,ACL (Findings),提示注入与越狱,N/A,"本文提出了一个名为 INJECAGENT 的基准,用于评测集成工具的大语言模型智能体面对间接提示注入攻击时的脆弱性。该基准包含 1054 个测试样例,覆盖 17 类用户工具和 62 类攻击者工具,并将攻击目标分为直接危害用户和窃取隐私数据两类。作者评测了 30 种不同的智能体,发现其普遍易受攻击,例如采用 ReAct 提示的 GPT-4 有 24% 的攻击成功率;在加入更强攻击提示后,成功率进一步显著上升。研究表明,工具型智能体在真实外部内容交互场景中存在突出的安全风险。"
